id,example,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation
ss327,Because everyone knows this islam men is the devil ,0,0,0,0,0,0,1,0
ss57,The men are turtles ... idiots even in uk … get lost ,0,0,1,0,0,0,0,0
ss12,why the hell is this Norwegian speaking about our LAWS ? SPEAK FOR YOUR OWN Scandinavian scam ,0,1,0,0,1,0,0,0
ss379,"i do n't blame texas , trans should be looked down upon ",0,0,0,0,0,0,0,1
ss140,dexpraxia my ass girl . Cheap excuses to be lazy and get paid by our country . I bet you pretend to be like that ,0,1,0,0,0,1,0,0
ss125,"Surprised that the burqa is banned in Belgium , but not in Poland where they are is much more looked - down upon . Kill them ",1,0,0,0,0,0,1,0
ss114,Equality should not apply on people of different religions except christianity . ,0,0,0,0,0,0,1,0
ss71,Hello I 'm calling from tech support * with Indian accent * ,0,0,0,0,1,0,0,0
ss377,Autists is why presidents like trump are getting elected ,0,0,0,0,0,1,0,0
ss52,"transgenders need help ... they are sick in the head . Civilization has messed up the world . Soon enough , people will claim to have the right to change to animals and it will be seen as human rights or right to choose ",0,0,0,0,0,0,0,1
ss346,"this was shit the guy should of boxed his head off and thrown him through the top window , fuck peoado muhamed and islam ",1,1,0,0,0,0,1,0
ss396,"The guy should feel shame to be gay . It is such a wrong choice . Bad influence on young people . Never seen being proud of being gay . It is like saying being proud of rapist . Awful !   The only time I am so disappointed at Trump . Under political pressure , he failed to stand up for the ground , the right thing ! ",0,1,0,0,0,0,0,1
ss279,That Asian bloke needs a shave or cover up his hideous beard with a burqa ! ,0,1,0,0,1,0,0,0
ss44,Come and kill my wife ,1,1,1,0,0,0,0,0
ss302,Why researchers invest their time on better wheelchairs ? Those cunts did not deserve it ! ,0,0,0,0,0,1,0,0
ss216,FUCK THAT HOMO DUMB ASS PRICK !   SHOULDA LET HIM GET FUCKING EATEN !   ASSHOKE FUCKING WORTHLESS DICK .... NOBODY WOULD HAVE MISSED HIM ! ,1,1,0,0,0,0,0,1
ss16,"Well i m glad that i live in Serbia , migrants and islamists are not welcome here ! ",0,0,0,0,1,0,1,0
ss15,I wish HIV to your butthole male whore ,1,1,1,0,0,0,0,0
ss47,"stupid black women , if i were in that restaurant , i would had whipped their ass ",1,0,0,1,0,0,0,0
ss111,Let 's go beat these queers ! ,1,0,0,0,0,0,0,1
ss119,"its a good thing i m not a commander or so in the police force , specially not during something like this , because the jail would be full of ppl waiting to be deported , if not dead ",1,0,0,0,1,0,0,0
ss258,I would smack them also but I'd be homophobic and in jail with ya ! ,1,1,0,0,0,0,0,1
ss308,These people are fucking animals they will never change . Our cultures are simply not compatible . There is definitely a rape culture and it√¢¬Ä¬ôs right here with Islam . ,0,0,0,0,0,0,1,0
ss13,Teaching my kids transgenders are anything but mentally ill will get you set on fire . ,1,0,0,0,0,0,0,1
ss287,"I would n’t like this girl as a police officer . I want police to keep me safe , she and every other woman can not keep us safe they are week ",0,1,1,0,0,0,0,0
ss101,it takes a fat black bitch to say something super stupid ,0,1,1,1,0,0,0,0
ss366,Ugly white girls and white dudes would not get away with that . ,0,0,0,1,0,0,0,0
ss332,"Try to talk to me about your senseless , inane god and you will meet him again as soon as possible thanks to my hand bitch ",1,1,0,0,0,0,1,0
ss359,EEEWWWWWWW TRANSGENDERS ARE FUCKING DISGUSTING ,0,0,0,0,0,0,0,1
ss387,Trans people = gays and loosers ,0,0,0,0,0,0,0,1
ss214,Indians are shit but burgers only have broken English and ebonics to learn and still fail . Second thread in a row where a burger ca n't figure out you 're and your ,0,0,0,0,1,0,0,0
ss112,Syria has a religion problem . ,0,0,0,0,0,0,1,0
ss229,Islam is   the home of terriorism . ,0,0,0,0,0,0,1,0
ss301,With a face like that I bet you could scare your HIV into remission . ,0,1,0,0,0,1,0,0
ss142,a homo ? so you fuck your brother instead of your sister ? ,0,1,0,0,0,0,0,1
ss3,It 's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they are n't even properly taught about the english language anymore . ,0,0,0,1,0,0,0,0
ss81,Hindus and Muslims are same shit . They only know how to kill Peoples ... See comments of Christians people no rudeness no abusing or bad words ... Christians religion is the best religion in the world ,0,0,0,0,0,0,1,0
ss357,I ’m searching for a hitman right now to kill this whore and every other like her . H A T E   W O M E N ,1,1,1,0,0,0,0,0
ss384,ONLY LEGAL IMMIGRANTS ... Like the hero officer Singh murdered in the line of duty .     NO TO ILLEGAL ALIENS THEY DO NOT BELONG HERE . Deport today ,0,0,0,0,1,0,0,0
ss174,Asians have more fats so they are yellow .   So fat people are yellow ? ... ,0,0,0,1,0,0,0,0
ss365,This fcking jew wants money ? I ’ll give him only my dick if he wants ,0,1,0,0,0,0,1,0
ss79,"Save on security and police , deport all immigrants and Sadiq Khan ! ",0,0,0,0,1,0,0,0
ss110,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE   GO FUCK EACH OTHER   LET US BE ,0,0,0,1,0,0,0,1
ss172,Do n't live where you ’re not wanted . Deport Jews and Muslims ,0,0,0,0,0,0,1,0
ss390,Asians reminds me the world slavery or servitude ,0,0,0,0,1,0,0,0
ss381,American Indians are finally almost extinguished ,0,0,0,0,1,0,0,0
ss194,"I can ' stand feminist . I like men being manly and I like being treated like a lady . Dear men , if a woman asks for your help , ask if they are feminist . If they say yes , then remind them they can do everything without men and don ' help them . ",0,0,1,0,0,0,0,0
ss49,Well my religion is n’t as satanic as yours at least ,0,1,0,0,0,0,1,0
ss183,"Moldova is a country of masochists . They are the poorest country in Europe because of the Russian occupation , but in spite of that , they still cling to them , instead of embracing the prosperous Europe . Not smart . ",0,0,0,0,1,0,0,0
ss176,U SUCK SHIT YOU BLACK FUCK ,0,1,0,1,0,0,0,0
ss309,Jews are lower class pigs . ,0,0,0,0,0,0,1,0
ss135,With no legs you are just a bag of meat in your household . Do them the favour and get dead already ,1,1,0,0,0,1,0,0
ss22,"I would pull you over for your race , if I was a cop . ",0,1,0,1,0,0,0,0
ss235,Fuck this faggot . He 's the disrespecting idiot brother in law that loves to start fights at family functions . You ca n't have conversations with assholes like him . ,0,1,0,0,0,0,0,1
ss274,People with traumatic brain injury should have the ability to get euthanatize ,1,0,0,0,0,1,0,0
ss63,She then suggests that the men who commented on her video should be killed . ,1,0,1,0,0,0,0,0
ss193,After all this time the african americans are the people with most crime rate ,0,0,0,1,0,0,0,0
ss40,Ill vote for you if you forbid people that can not hear to have driver licences . They are clearly threads ,0,0,0,0,0,1,0,0
ss282,No counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back . Those rats are smart . Bunch of GOVERNMENT BULL SHIT ,0,0,0,0,1,0,0,0
